Year,Gender,State,Name,Count
1923,M,MS,James,1545
1923,M,MT,Robert,335
1932,F,FL,Mary,837
1923,M,MN,Robert,1499
1955,M,FL,James,2113
1923,M,MO,Robert,1671
1948,M,SD,Robert,378
1948,M,SC,James,2276
1957,F,MA,Susan,2057
1957,F,MD,Deborah,1015
1923,M,ND,John,243
1923,M,NE,Robert,867
1923,M,NJ,John,2358
1923,M,NH,Robert,251
1955,M,GA,James,2567
1923,M,NC,James,3059
1923,M,NV,Robert,40
1989,F,DC,Ashley,86
1991,M,WY,Michael,85
1930,M,AK,John,25
1957,F,MT,Mary,239
1930,M,AL,James,2399
1989,F,DE,Ashley,161
1957,F,MS,Mary,1164
1957,F,MN,Mary,1731
1930,M,AR,James,1244
1925,F,SC,Mary,1670
1948,M,TN,James,2959
1991,M,WV,Joshua,395
1957,F,MO,Mary,1609
1923,M,NY,John,6224
1957,F,MI,Mary,3197
1925,F,SD,Mary,265
1923,M,NM,Jose,214
1930,M,AZ,Robert,195
1957,F,ME,Susan,378
1957,F,NC,Mary,1505
1923,M,OH,Robert,4261
1957,F,NE,Mary,512
1957,F,ND,Mary,247
1923,M,OK,James,1205
1923,M,KS,Robert,985
1948,M,UT,Robert,385
1964,F,AL,Lisa,825
1964,F,AK,Mary,84
1955,M,DE,John,269
1925,F,VA,Mary,1940
1955,M,DC,Michael,799
1964,F,AR,Lisa,510
1987,M,AL,Christopher,913
1987,M,AK,Christopher,174
1989,F,CA,Jessica,6532
1932,F,DC,Mary,309
1989,F,CT,Jessica,595
1932,F,DE,Mary,97
1987,M,AR,Christopher,503
1925,F,UT,Betty,262
1923,M,KY,James,2182
1989,F,CO,Ashley,626
1948,M,TX,James,4119
1923,M,LA,John,897
1987,M,AZ,Michael,943
1930,M,CO,Robert,557
1948,M,VT,Robert,224
1932,F,CT,Mary,493
1930,M,CT,John,882
1955,M,CA,Michael,7856
1955,M,CO,Michael,970
1989,F,AZ,Jessica,775
1932,F,CO,Mary,496
1964,F,AZ,Mary,368
1957,F,LA,Mary,1318
1923,M,ME,Robert,331
1925,F,TN,Mary,2442
1932,F,CA,Barbara,1653
1955,M,CT,Robert,1445
1923,M,MD,William,1001
1923,M,MI,Robert,2673
1948,M,VA,James,2449
1930,M,CA,Robert,2460
1925,F,TX,Mary,3535
2014,M,WV,Mason,129
1957,F,KY,Mary,1198
1923,M,MA,John,2654
1957,F,KS,Debra,726
2014,M,WY,Jackson,34
1987,M,CA,Michael,7449
1948,M,WV,James,1629
1991,M,TX,Michael,3796
1989,F,IL,Ashley,2267
1989,F,IN,Ashley,1183
2014,M,WA,Liam,407
1964,F,CT,Lisa,949
1989,F,IA,Ashley,551
1991,M,TN,Joshua,1100
1964,F,CO,Lisa,447
1989,F,ID,Jessica,208
1923,M,IN,Robert,2283
1948,M,WI,James,2189
1923,M,IL,Robert,4164
2014,M,WI,Mason,385
1987,M,CO,Michael,882
1987,M,CT,Michael,1184
1948,M,WA,Robert,1276
1925,F,WV,Mary,1549
1925,F,WY,Mary,132
2014,M,VT,Liam,47
1932,F,AZ,Mary,288
1964,F,CA,Lisa,4805
1987,M,DC,Michael,309
1925,F,WA,Betty,511
1989,F,HI,Ashley,155
1932,F,AR,Mary,1249
1987,M,DE,Michael,236
2014,M,VA,William,590
1925,F,WI,Mary,1010
1955,M,AL,James,2201
1955,M,AK,David,180
1932,F,AK,Mary,26
1932,F,AL,Mary,2339
1957,F,RI,Susan,323
1955,M,AR,James,1094
1925,F,VT,Mary,141
1964,F,DE,Lisa,174
2014,M,UT,William,282
1955,M,AZ,David,610
1964,F,DC,Lisa,368
1948,M,WY,Robert,175
1991,M,VT,Joshua,122
1957,F,NJ,Susan,1865
1989,F,GA,Brittany,1600
1957,F,NM,Mary,440
1957,F,NH,Susan,209
1991,M,WI,Michael,1065
2014,M,TN,William,544
1991,M,WA,Michael,1022
1957,F,NV,Linda,71
2014,M,TX,Noah,2067
1957,F,NY,Mary,5265
1989,F,FL,Ashley,2508
1957,F,OR,Susan,477
1991,M,UT,Michael,437
1964,F,FL,Lisa,1190
1987,M,FL,Michael,3056
1923,M,HI,George,110
1957,F,OK,Debra,571
1957,F,OH,Mary,3459
1923,M,IA,Robert,1584
1957,F,PA,Mary,3968
1923,M,ID,Robert,235
1991,M,VA,Michael,1389
1987,M,GA,Christopher,1758
1957,F,TX,Mary,3617
1989,F,MO,Jessica,1062
1989,F,MN,Ashley,879
1955,M,NM,Robert,496
1989,F,MS,Brittany,562
1923,M,VA,James,1868
1989,F,ME,Ashley,223
1989,F,MD,Ashley,963
1955,M,NY,Robert,8806
1993,F,WA,Jessica,698
1923,M,UT,Robert,240
1930,M,IA,Robert,1384
1989,F,MI,Ashley,2139
1955,M,NV,Michael,149
1916,M,SD,John,237
1916,M,SC,James,1511
1957,F,TN,Mary,1104
1964,F,GA,Lisa,1174
1930,M,HI,George,190
1962,M,AR,James,837
1989,F,ND,Ashley,129
1989,F,NC,Brittany,1839
1955,M,OK,David,1143
1989,F,MT,Ashley,135
1955,M,OH,David,5492
1962,M,AL,James,1649
1993,F,VT,Emily,96
1962,M,AK,John,157
1993,F,WY,Ashley,56
1955,M,MO,Michael,2320
1991,M,OR,Michael,528
1955,M,MN,David,2043
1923,M,WA,Robert,784
1991,M,OH,Michael,2789
1957,F,UT,Cindy,306
1923,M,VT,Robert,170
1948,M,LA,James,1570
1991,M,OK,Joshua,576
1955,M,MT,Robert,338
1955,M,MS,James,1738
1991,M,PA,Michael,3082
1993,F,WI,Ashley,647
1948,M,KY,James,2383
1930,M,ID,Robert,201
1989,F,MA,Ashley,1081
1964,F,HI,Lisa,180
1948,M,KS,Robert,896
1955,M,NJ,Robert,3473
1930,M,IN,Robert,2289
1955,M,NH,David,376
1930,M,IL,Robert,4669
1916,M,TN,James,1647
1993,F,WV,Ashley,255
1955,M,NE,Michael,830
1955,M,ND,David,323
1957,F,VA,Mary,1195
1923,M,WI,Robert,1783
1955,M,NC,James,3004
1916,M,TX,James,1752
1964,F,IN,Lisa,1629
1948,M,MI,Robert,3903
1948,M,ME,Robert,557
1948,M,MD,John,1429
1962,M,CA,David,7942
1948,M,MA,Robert,3547
1991,M,RI,Michael,340
1955,M,MA,John,3352
1991,M,SD,Michael,147
1964,F,IA,Lisa,806
1964,F,ID,Lisa,160
1957,F,SD,Debra,243
1957,F,SC,Mary,995
1962,M,CT,John,1431
1923,M,TN,James,2424
1996,F,AZ,Jessica,446
1989,F,LA,Brittany,1157
1991,M,SC,Christopher,739
1989,F,KS,Jessica,484
1955,M,MI,Michael,4794
1964,F,IL,Lisa,2732
1955,M,ME,David,556
1962,M,CO,David,911
1955,M,MD,Michael,1475
1989,F,KY,Brittany,844
1916,M,UT,John,180
1948,M,NM,Robert,349
1948,M,NJ,Robert,3336
1996,F,AK,Ashley,57
1930,M,KY,James,2028
1948,M,NH,Robert,355
1996,F,AL,Hannah,393
1930,M,LA,James,883
1948,M,NE,James,741
1948,M,ND,James,330
1916,M,VA,James,1401
1948,M,NC,James,3580
1955,M,KS,David,1162
1923,M,TX,James,2736
1962,M,AZ,David,707
1996,F,AR,Hannah,278
1955,M,KY,James,1911
1948,M,MT,Robert,378
1948,M,MS,James,2141
1930,M,KS,Robert,986
1948,M,MO,James,2232
1955,M,LA,James,1489
1948,M,MN,James,1658
1916,M,VT,Robert,132
1964,F,KS,Lisa,447
1948,M,OK,James,1095
1948,M,OH,James,5012
1916,M,WA,Robert,461
1991,M,LA,Christopher,886
1964,F,KY,Lisa,1117
1991,M,MA,Michael,1960
1923,M,RI,John,406
1916,M,WI,John,932
1930,M,DE,William,138
1948,M,NY,Robert,9015
1930,M,DC,William,284
1948,M,NV,Robert,88
1996,F,DC,Alexis,69
1916,M,WV,John,648
1996,F,DE,Emily,85
1955,M,IL,Michael,5900
1916,M,WY,John,72
1996,F,CO,Emily,350
1996,F,CT,Emily,392
1955,M,IN,David,2704
1948,M,PA,John,7299
1964,F,LA,Lisa,968
1991,M,KY,Joshua,799
1923,M,SC,James,1917
1923,M,SD,Robert,374
1996,F,CA,Jessica,3835
1948,M,OR,John,734
1991,M,KS,Michael,489
1996,F,FL,Ashley,1398
1984,M,WV,Joshua,547
1955,M,HI,Michael,310
1989,F,OR,Ashley,503
1964,F,MT,Lisa,173
1991,M,NM,Michael,319
1964,F,MS,Mary,721
1991,M,NH,Michael,274
1991,M,NJ,Michael,2669
1989,F,OH,Ashley,2376
1957,F,VT,Mary,156
1991,M,NC,Christopher,1560
1989,F,OK,Ashley,623
1991,M,ND,Tyler,143
1984,M,WY,Michael,144
1991,M,NE,Jacob,310
1923,M,OR,Robert,516
1964,F,ME,Lisa,384
1989,F,PA,Ashley,2124
1964,F,MA,Lisa,2121
1964,F,MD,Lisa,980
1957,F,WI,Mary,2128
1919,M,CA,Robert,1346
1964,F,MN,Mary,1113
1955,M,ID,Michael,345
1923,M,PA,John,7206
1991,M,NY,Michael,5647
1964,F,MO,Lisa,1327
1955,M,IA,David,1597
1964,F,MI,Lisa,2306
1930,M,FL,James,824
1991,M,NV,Michael,326
1957,F,WA,Susan,700
1991,M,MN,Michael,1036
1991,M,MO,Michael,1104
1989,F,NM,Ashley,310
1964,F,NV,Lisa,118
1984,M,VT,Christopher,144
1964,F,NY,Lisa,4962
1919,M,AK,John,24
1919,M,AL,James,2223
1957,F,WY,Mary,108
1989,F,NE,Ashley,346
1948,M,RI,Robert,634
1989,F,NH,Jessica,241
1957,F,WV,Debra,606
1991,M,MI,Michael,2351
1989,F,NJ,Jessica,1421
1919,M,AR,James,1221
1991,M,MD,Michael,1258
1991,M,ME,Joshua,261
1930,M,GA,James,2379
1964,F,NH,Lisa,250
1964,F,NC,Lisa,1474
1919,M,AZ,John,135
1984,M,WA,Michael,1102
1964,F,NE,Mary,395
1964,F,ND,Lisa,153
1989,F,NV,Jessica,234
1991,M,MS,Christopher,502
1964,F,NJ,Lisa,2063
